Country Name,Year,Age dependency ratio (% of working-age population),"Agriculture, value added (% of GDP)","Agriculture, value added (annual % growth)","Agriculture, value added (constant 2005 US$)","Borrowers from commercial banks (per 1,000 adults)","Contributing family workers, female (% of female employment)","Contributing family workers, male (% of male employment)","Contributing family workers, total (% of total employment)",Domestic credit provided by financial sector (% of GDP),Domestic credit to private sector (% of GDP)
Australia,2010,48.0681796110518,2.20117483232352,-0.749155364050338,25187175195.9834,,0.333999991416931,0.238000005483627,0.28099998831749,154.042992352495,125.701617057129
Australia,2011,48.638811934047,2.28041060118694,3.45091267883572,26056362618.2622,,0.287999987602234,0.187000006437302,0.232999995350838,151.418032134396,122.542709256201
Australia,2012,49.1947247755172,2.25875200427579,0.972841507904334,26309849729.2627,,0.28099998831749,0.172000005841255,0.221000000834465,150.157939101233,121.499098092336
Australia,2013,49.7709360562177,2.28250934556895,-0.727324249651687,26118491812.1349,,0.263000011444092,0.206000000238419,0.23199999332428,155.533074208247,124.979599407506
Australia,2014,50.3996374663108,2.22004842784952,1.14417564642355,26417333234.6625,,0.27700001001358,0.225999996066093,0.248999997973442,164.710899500516,128.7285936391
Australia,2015,51.0854579040657,2.37269674923708,1.34524929444967,26772712223.6142,,0.279000014066696,0.20100000500679,0.237000003457069,175.977102148284,136.586163559788
Australia,2016,51.8630483195639,2.4305798250667,-6.39097744360903,25061674224.3606,,0.268999993801117,0.194000005722046,0.228000000119209,182.772402132277,142.518425789207
Canada,2000,46.4823842861192,,,,,0.430000007152557,0.17399999499321,0.291000008583069,111.061612148261,93.4353852573523
Canada,2001,46.0090139549868,,,,,0.330000013113022,0.140000000596046,0.226999998092651,197.889552698147,173.2319133191
Canada,2002,45.5901598469655,,,,,0.316000014543533,0.142000004649162,0.223000004887581,192.309039372753,167.856144846534
Canada,2003,45.205444663253,,,,,0.305999994277954,0.157000005245209,0.226999998092651,186.315281908959,162.069569828403
Canada,2004,44.8306065842588,,,,,0.268999993801117,0.131999999284744,0.195999994874001,188.549733769639,164.874046896809
Canada,2005,44.4863254460577,,,,,0.218999996781349,0.127000004053116,0.170000001788139,196.518124341933,172.745863102211
Canada,2006,44.2333291529787,,,,,0.24600000679493,0.12899999320507,0.18299999833107,213.466632377411,188.753646645539
Canada,2007,44.0335436673802,1.40702572302311,,21012340339.0041,,0.23199999332428,0.0970000028610229,0.159999996423721,149.88453167778,123.857725931217
Canada,2008,43.9338623586135,1.59765457919092,7.93134625305557,22678901807.161,,0.195999994874001,0.123000003397465,0.157000005245209,172.327332247177,124.406866865547
Canada,2009,43.9814767638781,1.37593987360953,-6.30649481983888,21248658039.496,,0.177000001072884,0.100000001490116,0.136000007390976,,
Canada,2010,44.1961117526372,1.33166399038343,1.11661958268931,21485924716.2237,,0.153999999165535,0.0799999982118607,0.115000002086163,,
Canada,2011,44.6816402149035,1.60566397841261,4.14770985813679,22377098533.7904,,0.156000003218651,0.104999996721745,0.12899999320507,,
Canada,2012,45.2045335696126,1.64729362609776,1.0391039295713,22609619843.979,,0.159999996423721,0.0860000029206276,0.120999999344349,,
Canada,2013,45.8107839611485,1.72529369728679,17.8105195734414,26636510611.7716,,0.141000002622604,0.122000001370907,0.130999997258186,,
Canada,2014,46.5217535977263,1.42479574711835,-8.08095224137483,24484026910.4656,,0.157000005245209,0.114000000059605,0.135000005364418,,
Canada,2015,47.3310123302842,,3.83750707546891,25423603175.5144,,0.160999998450279,0.101000003516674,0.129999995231628,,
Canada,2016,48.2439168641162,,3.89353412326656,26413479840.517,,0.168999999761581,0.116999998688698,0.141000002622604,,
China,2000,46.0652059455837,14.6762416552997,2.3031203566122,390817204629.25,,41.8860015869141,11.6750001907349,25.3570003509521,118.400433908427,111.122970938856
China,2001,44.7909228808801,13.9834613523738,2.65068990559188,401176556821.674,,40.7560005187988,11.0469999313354,24.4769992828369,121.65992287967,110.044590705928
China,2002,43.0912017343816,13.3014877128561,2.68836222143605,411961635816.525,,39.1790008544922,10.4259996414185,23.3990001678467,141.82417214049,117.49869856
China,2003,41.1922224801224,12.3489989653686,2.37685153289713,421753352272.379,,36.8330001831055,9.72599983215332,21.9309997558594,150.10958040553,125.671432607716
China,2004,39.4651737875576,12.9166481669765,6.12382234185722,447580778286.366,,33.4790000915527,9.09899997711182,20.0520000457764,138.6671322758,118.636103006947
China,2005,38.0958615919408,11.6414956027145,5.07292327203568,470286207749.214,,31.181999206543,8.38799953460693,18.6019992828369,132.590515888266,111.842924826632
China,2006,37.1716061270728,10.6257605277639,4.73747736873867,492565910409.632,,28.632999420166,7.67899990081787,17.0450000762939,131.580293857395,109.15838719718
China,2007,36.4417181806361,10.2829969681319,3.51483722270247,509878800375.053,,25.7099990844727,6.99599981307983,15.3369998931885,125.691587761034,105.732724177518
China,2008,35.9488565093012,10.2508986328991,5.17673253548547,536273862125.612,,23.3040008544922,6.33900022506714,13.8870000839233,118.735590161894,101.917072077337
China,2009,35.6729024667718,9.78618898134402,3.9957660756815,557702111181.174,,21.8819999694824,5.90399980545044,12.9940004348755,141.68051109137,124.207139613954
China,2010,35.5904054041574,9.53019294093058,4.24936386768448,581400903183.02,,19.5890007019043,5.48199987411499,11.7239999771118,142.19877114735,126.300287949002
China,2011,35.6741833499861,9.43451606248288,4.17378569685127,605667330921.437,,17.6669998168945,5.06400012969971,10.6379995346069,140.603051388847,122.75368778659
China,2012,35.9439108102547,9.41993615797438,4.47516401124662,632771937342.711,270.603699335417,16.4479999542236,4.74100017547607,9.91600036621094,149.082586041538,128.49617744693
China,2013,36.3852516719748,9.29518965196507,3.81251401659557,656896456146.985,291.259668521338,15.4320001602173,4.48299980163574,9.32100009918213,155.735525528118,133.804493030052
China,2014,36.9684934334356,9.05992241632572,4.06135234391878,683575335765.83,316.281425673727,14.5120000839233,4.23600006103516,8.77299976348877,167.236891060141,140.147396621274
